COL1;COL2;COL3;COL4;COL5;COL6
-1.572194354;-0.820540219;-2.382052923;-0.15770008;-1.039960809;-0.646057065
-4.293236948;-0.819109358;-1.526818389;0.1148064281;-0.490879742;-0.149917674
-1.527936946;0.2653191563;-1.877048745;-1.491172834;0.4505980339;1.0618056991
-1.807632976;-0.177441847;-1.848015244;-1.225154754;-3.098122118;0.3741200203
-3.647879397;-1.65845192;-1.524676185;1.4704520008;-1.581077178;-1.891237025
-3.122036785;-1.037392875;-1.039516777;1.8518851161;-1.555266062;1.0427865535
-3.973841245;0.9570304124;-0.203525078;0.3415068546;-2.675978259;-0.197833698
-1.682168417;0.0210301206;-0.816177611;0.6281809641;-2.492336322;-0.798631026
-2.667353416;0.9088924418;-3.104472873;-0.369321573;-4.394270457;0.8412997409
-3.585345817;1.2145446694;-1.246203181;0.9837749118;-1.094624935;0.5136545877
-1.116002375;-0.296772593;-1.080214637;-0.782403912;-2.576432433;-0.719075807
-2.118831388;0.2842599022;-1.049801403;-1.113179378;-0.258563061;1.3351511447
-1.581811934;0.6971230472;-1.553993112;-0.462924178;-2.006852161;1.1426719275
-3.182221792;0.527825669;-3.211001285;0.2064392502;-2.375207603;-0.229780671
0.6851889018;0.3729554466;-2.774098099;-1.193261215;-2.499926628;-0.246237271
-2.336831723;0.3709031684;-0.748329446;-0.201664066;-2.026113695;0.2976143216
-1.579034064;1.6536734797;-1.639375848;1.0009474724;-0.497982469;-0.780283603
-3.140356322;0.9171418688;-2.810570401;0.1335852434;-1.563804798;1.0815478614
-2.20956443;1.217201924;-2.930795871;2.1183039317;-0.220771943;-0.295171064
-2.019349726;0.906600698;-2.487684651;-0.567636671;-0.820497015;-0.169051266
-2.026984561;0.4707227418;-2.579634588;-0.437615557;0.1225670195;0.235973253
-1.252750785;2.8365891083;-2.536236084;-0.511563572;-0.023955365;-1.211411583
-2.068091492;1.0679922688;-3.272382264;-0.941591608;-2.411777077;1.3040706797
-1.59769116;-0.513481384;-3.57199828;-0.929998329;-1.924477382;-1.356603006
-2.921509238;0.1785030963;-1.644312735;-0.530216635;-4.423232478;1.4449363517
-0.878208087;-1.149355657;-2.002926325;0.8322859019;-2.829118983;-0.39288304
-2.003953034;2.2512352942;-2.222299581;0.5597719136;-1.941273395;1.4260731613
-2.255915171;-0.194181996;-0.902000684;-0.731088307;-0.697069263;1.5242225922
0.2779466231;1.9033368811;-3.248440052;0.2745781163;-2.319279436;-0.353342089
-2.231354765;0.3799157646;-2.393598838;0.4804454376;-1.964309005;-0.273551671
-1.329347566;1.0441014394;-2.376427194;1.3062861078;-3.701213099;-0.767024647
-1.917472314;0.0478794949;-1.858506877;-1.204204979;-3.21874683;-0.443347419
-1.076335993;1.0274395771;-2.901559517;-0.852761883;-2.676298311;0.5108759368
-1.842724769;1.3558159336;-1.596930601;-0.918109465;-3.792454454;0.4164028168
-1.699232273;1.5064437005;-3.286796561;-1.231153003;-2.189842177;-1.752708279
-3.879248398;1.287499009;-0.980481593;-0.227084118;-1.558524551;0.9312878801
-3.94973012;0.2100292743;-2.898961843;-0.787453725;-1.475654202;0.0041100987
-2.707790748;-0.621130786;-4.466530377;0.703010653;-3.220405185;-0.515831668
-1.322727134;-0.119772644;-1.687640885;-0.693908282;-1.730254112;-0.990551802
-1.448284378;-1.905522726;-2.35294072;0.8648659526;-2.233662167;-0.287411457
-3.488292671;0.0502923374;-0.366041224;-0.414703067;-1.86635037;1.0444858142
-1.554226794;-0.525167671;-0.501548893;-0.583917324;-2.823262376;-1.473234488
-2.248593238;0.5870405228;-0.223780009;0.6129637599;-1.528887732;0.2220684795
-1.50234608;0.5369028514;-3.374012596;-0.271557396;-0.587937799;-1.623031175
-2.060585353;0.105695645;-1.703756324;0.7101737231;-0.256978706;-0.95755795
-2.47955422;-1.395374288;-0.549449557;-0.386743014;-3.388912157;1.4330613192
-2.480173964;0.1312635148;-2.47170465;-1.443874613;-2.3536342;0.0090780145
-2.918527666;0.4982834097;-1.79703369;-0.649123249;-1.968652902;1.0303732095
-1.358520487;1.7951509714;-1.761028493;-1.755104489;-2.510091161;-1.866322892
-0.561158903;-0.073417227;-1.939133938;-2.184757499;-2.93003524;0.7537836445
-1.300917694;0.1040211001;-1.116370622;1.5911477424;-0.695635394;-0.07911021
-1.281194989;1.8093610126;-2.543044527;-0.816782534;-1.034555104;0.8578295203
-2.043630956;-0.300267624;-1.669426103;0.5198950395;-0.931172281;-0.966053066
-1.835486479;0.6212245313;-2.922843255;-0.7653559;-3.46116603;0.622378276
-1.812212874;0.8949641839;-2.671653532;-1.163063632;-1.727458696;0.5948238218
-2.264774038;0.1403262483;-1.678928573;-0.469007644;-2.026828467;0.1325893649
-2.503336568;0.2346941425;-2.14862388;-1.54196884;-3.552869586;-1.725321054
-2.327032911;0.5619473442;-1.411118672;-0.91086309;-1.037827161;0.496264839
-1.778423227;1.4926111121;-1.946205383;0.3330358537;-1.56414941;0.5833847739
-2.244164847;0.0478106581;-2.706286324;0.8469732337;-1.002450119;-0.936415186
-0.62594658;-0.482227978;-1.071250908;0.503968788;-2.05534142;-0.588539148
-2.401222118;-1.408764432;-2.501909466;1.1139491945;-3.288759883;2.0071564699
-2.572025244;-0.590731169;-2.683281485;-0.117061882;-2.569414423;0.5172768335
-2.22668824;-1.730163252;-2.612420323;0.2234781929;-2.172546337;-0.018215591
-2.615492155;0.0223190167;-2.752050314;0.3685591814;-3.384735161;-1.672126115
-3.103980568;1.709025904;-2.04865382;-0.951811177;-3.84827009;0.1441633547
-2.599889496;-1.377865325;-0.096137363;-0.554987921;-2.399728844;-2.141276236
-1.782979992;-0.329664816;-3.117965804;-0.291364189;-1.616321202;1.2699549279
-0.082640201;-0.655017244;-2.353608049;-1.22400367;-1.507743834;1.4629648057
0.0375796787;0.5434860154;-1.990461671;0.5446132453;-3.420134294;0.2885473996
-2.033166018;1.2503965588;-3.282044386;-1.470865045;-2.083751827;0.6167910158
-3.343452096;-1.128737965;-0.331617724;-0.398264439;-1.904532658;-0.996566797
-1.723004775;1.2856265792;-0.54198361;-0.841483264;-2.018581832;0.2000734852
-3.084422824;-0.456130884;0.1274547944;0.5678936662;-2.17102461;-0.444326713
-0.256641526;-0.177709348;-2.401032046;-0.221229899;-3.750466208;-1.465762204
-3.801260902;1.1969651566;-2.99318833;0.358603043;-4.457105544;-1.188060879
-1.089463416;0.0770703077;-1.248637308;-1.195244996;-3.485109199;-1.296407282
-4.28456393;0.0135759477;-0.306731684;-0.324939194;-3.031549103;0.2040645002
