id;alt;Att11;Att12;Att21;Att22;Att31;Att32;choice
1;1;-1;-1;0;1;0;1;0
1;2;1;0;-1;-1;-1;-1;1
1;3;0;1;1;0;-1;-1;0
1;1;1;0;0;1;0;1;0
1;2;-1;-1;0;1;1;0;1
1;3;0;1;1;0;-1;-1;0
1;1;0;1;-1;-1;1;0;1
1;2;1;0;0;1;0;1;0
1;3;-1;-1;1;0;0;1;0
1;1;-1;-1;0;1;1;0;1
1;2;0;1;1;0;0;1;0
1;3;1;0;-1;-1;0;1;0
1;1;1;0;1;0;-1;-1;0
1;2;-1;-1;1;0;0;1;0
1;3;0;1;-1;-1;1;0;1
1;1;0;1;0;1;0;1;1
1;2;-1;-1;1;0;1;0;0
1;3;1;0;-1;-1;1;0;0
1;1;0;1;-1;-1;1;0;0
1;2;1;0;0;1;-1;-1;1
1;3;-1;-1;1;0;0;1;0
1;1;-1;-1;0;1;1;0;0
1;2;1;0;-1;-1;0;1;1
1;3;0;1;1;0;-1;-1;0
1;1;1;0;-1;-1;0;1;0
1;2;0;1;1;0;-1;-1;0
1;3;0;1;0;1;1;0;1
1;1;0;1;0;1;1;0;0
1;2;-1;-1;1;0;0;1;0
1;3;1;0;0;1;-1;-1;1
1;1;-1;-1;1;0;-1;-1;1
1;2;0;1;0;1;0;1;0
1;3;1;0;-1;-1;0;1;0
1;1;1;0;-1;-1;1;0;0
1;2;-1;-1;0;1;1;0;1
1;3;0;1;1;0;-1;-1;0
1;1;1;0;-1;-1;-1;-1;1
1;2;0;1;0;1;0;1;0
1;3;-1;-1;0;1;1;0;0
1;1;1;0;-1;-1;0;1;0
1;2;-1;-1;-1;-1;1;0;1
1;3;0;1;0;1;-1;-1;0
1;1;0;1;0;1;-1;-1;0
1;2;-1;-1;-1;-1;1;0;1
1;3;-1;-1;1;0;0;1;0
1;1;1;0;0;1;-1;-1;0
1;2;-1;-1;1;0;-1;-1;1
1;3;0;1;-1;-1;0;1;0
1;1;1;0;0;1;-1;-1;0
1;2;0;1;1;0;0;1;0
1;3;0;1;-1;-1;1;0;1
1;1;-1;-1;1;0;1;0;1
1;2;0;1;0;1;0;1;0
1;3;1;0;1;0;-1;-1;0
2;1;-1;-1;0;1;0;1;1
2;2;1;0;-1;-1;-1;-1;0
2;3;0;1;1;0;-1;-1;0
2;1;1;0;0;1;0;1;0
2;2;-1;-1;0;1;1;0;1
2;3;0;1;1;0;-1;-1;0
2;1;0;1;-1;-1;1;0;0
2;2;1;0;0;1;0;1;0
2;3;-1;-1;1;0;0;1;1
2;1;-1;-1;0;1;1;0;1
